age,income,region,device
33.5,85934.93,west,android
44.5,80388.31,north,ios
35.5,63828.20,west,ios
27.7,80259.38,east,android
27.2,60180.80,west,ios
41.7,63041.96,west,ios
55.8,43597.93,west,ios
41.6,65954.87,west,android
38.8,60905.79,north,android
42.9,40460.22,east,android
53.1,59232.04,south,ios
42.2,58804.06,south,ios
35.9,86963.42,west,android
51.1,73413.20,west,ios
44.3,60171.68,east,android
55.4,63731.81,south,ios
41.8,60663.19,south,ios
27.8,56956.29,south,ios
26.3,43763.59,south,android
56.5,57734.22,south,ios
57.2,48808.53,north,web
38.2,41245.27,north,ios
36.2,67668.33,east,android
54.6,65868.97,south,android
28.9,33199.39,west,ios
31.1,58159.73,east,android
46.4,74935.52,north,ios
36.1,75888.36,north,android
39.9,75387.55,north,ios
38.4,60583.70,west,android
43.4,47324.32,north,web
54.1,43744.52,south,ios
40.9,65169.07,west,android
46.4,65689.20,west,android
19.5,79309.97,north,ios
39.5,76499.69,north,android
31.6,58016.57,north,android
27.8,41336.91,north,web
31.2,55213.40,north,web
36.7,63258.47,south,ios
49.2,56968.75,west,android
26.7,51331.59,south,android
40.3,63793.27,east,ios
35.2,52440.63,north,ios
36.7,50579.01,west,web
50.0,64671.79,east,ios
45.4,53970.11,west,android
53.4,63661.57,west,web
38.5,64098.06,south,ios
33.0,42908.56,north,android
37.8,52781.38,north,web
42.4,81566.65,south,android
41.8,42568.81,west,ios
29.2,28250.18,south,ios
40.9,32072.32,east,web
42.3,60436.65,south,ios
65.2,60463.76,north,android
58.8,58235.84,south,ios
31.5,78212.85,east,android
37.1,19907.48,east,web
25.4,65939.01,south,android
34.1,83421.57,north,web
43.2,43083.29,east,ios
52.1,54302.90,north,android
32.7,48706.62,west,web
33.5,46584.81,north,android
18.5,55106.07,north,ios
38.4,81412.28,south,web
29.4,87560.80,south,ios
34.7,54960.91,south,android
31.2,88575.90,south,web
39.1,60533.65,west,ios
22.4,86305.37,south,ios
25.3,58600.52,south,ios
61.3,61965.87,south,ios
27.1,65482.12,north,ios
29.0,107682.81,south,android
58.4,72769.28,north,ios
69.1,49391.03,east,android
28.3,74534.97,north,ios
36.3,54572.51,west,ios
43.4,52653.75,south,ios
57.3,73629.02,west,android
30.1,60466.28,south,android
37.5,64178.64,north,ios
47.8,60209.78,west,web
44.3,65048.75,east,android
36.2,66374.49,east,ios
38.7,30945.50,south,web
26.3,69998.59,east,ios
37.6,45269.71,west,ios
37.3,38365.51,east,android
42.3,59123.83,south,ios
34.4,61259.72,east,ios
44.7,49597.41,east,android
50.1,72465.48,west,ios
41.6,39867.37,south,web
43.5,53895.84,south,web
40.5,51226.89,west,android
40.0,59301.19,south,android
32.8,64182.96,east,android
43.2,44881.61,south,web
39.0,70864.24,north,ios
60.9,60945.04,east,ios
55.7,31620.81,north,android
43.9,30621.13,north,android
32.4,59815.21,east,ios
28.9,56685.49,east,android
51.9,58448.70,west,ios
42.6,59580.26,north,web
44.8,63383.40,north,ios
22.6,74214.74,west,ios
49.3,43333.43,north,ios
44.5,42420.43,north,ios
28.9,43600.14,north,ios
35.3,64333.75,south,ios
42.6,78674.21,west,ios
40.5,53529.91,east,ios
37.1,22474.50,east,ios
39.0,34440.11,north,ios
37.5,47504.45,south,ios
41.5,51634.07,south,ios
54.7,53874.17,north,ios
18.0,60578.72,north,ios
37.6,55323.81,south,ios
41.8,75740.09,north,android
43.0,49859.74,south,web
36.3,47065.23,east,web
22.4,67183.13,north,android
43.3,36965.37,south,android
57.3,65845.38,east,ios
24.7,61538.30,east,android
48.6,57788.36,west,android
36.7,83824.14,south,web
39.4,50666.89,west,web
29.5,90904.47,north,android
36.7,56618.53,south,android
53.0,40844.75,north,web
45.8,61048.79,south,ios
57.3,43856.32,south,web
51.8,48723.66,north,ios
44.4,65955.50,east,web
57.4,68333.73,south,android
44.4,50667.48,north,ios
48.3,74811.08,north,android
37.0,77362.62,south,ios
40.7,81544.53,south,android
33.0,67941.20,south,android
49.9,80451.43,north,android
28.2,31788.02,east,web
47.8,55231.40,west,ios
38.1,46994.92,south,ios
51.7,61788.39,east,android
47.5,51428.26,west,ios
58.2,57507.63,west,android
47.3,88232.62,east,ios
24.3,57454.20,west,ios
39.3,66206.88,west,android
28.3,56515.96,east,web
34.8,61135.70,south,ios
55.1,60090.25,north,web
46.4,66724.86,north,android
33.0,77479.61,south,ios
29.9,84710.91,south,android
40.3,64644.30,south,android
27.8,68843.20,south,ios
33.3,42737.03,south,android
43.1,58681.85,west,ios
51.6,74104.34,north,ios
46.1,72989.53,north,android
18.0,63174.15,east,android
43.0,73295.91,west,web
40.7,67361.50,west,ios
44.1,78004.59,west,web
56.2,64340.39,west,android
19.4,54664.53,south,web
34.1,65037.62,south,web
45.9,16041.08,north,ios
24.2,65743.29,east,android
54.8,10000.00,west,ios
43.7,34148.05,south,web
48.5,66776.53,south,android
34.3,67162.94,north,ios
48.1,42563.57,north,web
50.7,49318.47,north,ios
42.3,80558.11,north,android
42.3,52739.55,west,android
42.7,93643.80,south,ios
31.4,59971.20,west,android
38.5,66120.54,east,web
38.5,84253.12,north,ios
43.8,61965.41,north,android
50.0,44964.84,west,ios
29.4,58354.09,north,android
38.7,59465.84,west,ios
54.8,39528.88,north,web
32.6,56162.52,east,web
31.8,48867.12,west,ios
42.0,73865.37,north,ios
48.4,60519.18,north,android
40.1,55758.06,west,android
53.3,58407.27,north,android
48.6,63346.83,south,ios
48.4,69252.21,south,ios
45.5,45004.32,north,web
63.3,44376.19,east,android
37.9,76570.19,east,web
20.0,53814.95,south,android
56.0,38747.37,west,web
35.4,66657.19,north,ios
41.1,66950.55,north,ios
53.1,37039.27,south,web
24.0,63442.23,west,web
27.5,71033.75,north,ios
24.0,65615.80,north,ios
32.1,69479.72,south,android
44.4,38935.96,west,android
45.2,64965.60,north,ios
42.8,55460.70,south,web
25.9,52758.15,east,ios
18.0,73058.33,south,android
40.5,82189.12,north,ios
35.3,86915.55,north,ios
44.6,79722.12,south,android
47.0,58353.99,south,ios
41.4,65290.80,west,android
47.6,71502.34,east,ios
42.3,61817.67,east,web
45.3,61961.46,west,android
33.0,72356.30,south,web
38.2,59110.76,south,ios
42.0,49060.70,west,ios
48.2,53782.90,north,ios
36.1,69508.66,east,android
45.2,60044.90,east,ios
37.3,65103.15,north,ios
38.8,70051.19,south,ios
48.3,54377.38,north,ios
20.1,71343.72,north,ios
27.0,65682.64,south,ios
25.2,41477.80,north,ios
18.0,81634.57,east,android
33.2,52488.83,west,ios
47.5,35173.57,west,ios
37.2,44324.34,north,android
42.0,44684.32,north,android
50.9,60782.60,north,ios
53.3,55892.24,north,android
39.3,54947.52,west,web
53.5,69295.53,south,android
40.9,65098.13,north,web
31.6,64740.72,west,android
34.1,66147.43,south,ios
25.2,69242.02,north,android
31.1,28380.70,north,android
36.4,54533.43,east,web
48.0,27296.85,east,android
57.2,60540.90,north,ios
26.2,59930.51,west,android
43.9,75682.98,west,ios
29.6,77814.52,west,android
44.7,63041.63,north,android
38.7,52494.58,north,android
21.7,67277.42,west,web
49.3,52081.24,south,android
33.9,59979.11,east,android
34.7,74792.04,east,android
29.3,51633.43,north,web
33.5,72085.18,east,web
44.3,70161.02,west,ios
38.1,45678.12,east,android
43.3,74608.41,south,ios
43.6,70478.50,west,web
53.2,61528.89,south,android
36.6,48565.15,east,android
25.2,47111.91,west,ios
50.7,51935.06,east,ios
36.7,68138.92,north,android
51.1,45665.62,north,ios
43.8,66562.68,north,ios
38.7,41373.67,south,web
43.5,56938.97,south,android
59.5,61644.72,south,ios
60.8,96676.95,south,ios
40.7,39340.27,east,web
41.6,82080.22,west,android
50.8,62247.64,north,android
31.5,66167.58,east,ios
43.3,61775.22,east,ios
39.7,66670.90,south,ios
43.1,57694.72,north,android
31.7,81810.75,east,ios
24.1,53152.93,west,ios
19.3,76983.52,east,android
28.8,50334.49,west,web
35.4,59096.22,west,android
37.1,43920.56,south,android
59.4,66825.36,east,android
51.1,81676.89,south,android
30.4,58839.66,west,ios
43.5,57046.71,north,android
35.9,43280.75,south,android
37.2,56560.61,west,android
41.9,36108.09,north,web
46.2,46306.83,east,web
36.6,63401.79,south,ios
50.6,79785.20,west,ios
28.6,102138.16,west,ios
40.1,51201.22,south,ios
66.0,81529.50,east,ios
42.2,63656.29,south,ios
54.3,57731.29,east,android
40.9,66488.92,east,android
45.8,60928.75,west,web
39.4,61655.94,north,ios
38.3,53875.00,north,ios
32.2,39028.36,east,android
44.3,36845.62,south,ios
31.5,69798.67,south,ios
46.7,55849.50,north,web
50.9,51058.67,south,ios
43.7,60127.58,west,ios
37.1,71923.98,north,android
44.5,62705.46,south,android
36.9,50159.18,west,android
49.4,78394.39,north,ios
21.7,83687.78,east,web
36.6,67418.35,north,ios
20.1,74604.95,west,android
25.0,78629.40,east,android
53.6,76951.49,west,web
49.0,69211.49,north,ios
32.8,68975.21,south,android
25.0,67794.91,east,ios
18.0,43539.93,north,ios
34.6,70510.85,north,ios
64.2,39662.79,north,android
44.3,48081.01,west,ios
34.4,79553.48,east,android
44.7,72603.30,east,ios
24.4,82310.97,east,web
37.0,55924.88,south,web
41.0,42716.27,south,ios
39.1,56393.44,south,ios
47.9,61530.47,east,ios
43.4,61184.83,north,web
46.7,77005.21,west,ios
33.1,54580.94,west,android
49.0,65280.52,south,android
56.3,45170.59,south,android
30.3,66754.76,north,android
31.1,60046.63,west,android
53.4,48752.80,west,web
38.1,56462.56,west,ios
54.0,57237.36,south,web
35.6,55947.67,north,ios
54.6,86570.12,north,android
41.3,58523.31,north,web
42.6,56341.56,north,android
55.6,28538.24,north,android
36.4,46586.89,west,ios
30.6,56053.90,north,android
35.5,49712.21,north,ios
44.5,80725.61,west,android
24.3,57525.93,south,android
46.4,79326.66,east,ios
34.6,60925.57,east,ios
51.5,60558.42,west,ios
18.0,58668.05,east,ios
32.1,60056.94,south,ios
23.1,85781.93,east,web
31.7,25205.84,south,android
42.5,29976.81,south,ios
38.2,51852.44,south,android
37.5,60217.92,north,web
38.4,70351.57,east,ios
42.0,67096.31,north,ios
29.9,54236.31,north,ios
47.1,75285.66,north,ios
46.6,75452.93,west,android
43.9,62760.87,south,web
45.6,74439.86,east,ios
43.0,64089.68,west,android
60.4,51577.75,north,ios
39.1,70467.25,east,android
36.9,61659.20,south,android
32.5,60020.10,north,ios
29.7,82094.30,east,ios
27.6,23236.92,west,android
31.1,38734.74,north,web
39.3,42193.94,south,ios
43.3,54551.09,north,ios
40.5,56180.88,south,ios
32.3,37390.12,east,android
49.0,45222.63,east,android
47.4,47087.37,east,android
38.4,96861.36,north,android
33.5,87026.13,east,web
45.5,53823.76,east,web
41.9,54546.25,east,ios
25.5,42761.94,north,android
39.3,31378.04,south,ios
42.6,58246.80,south,ios
31.0,45032.22,north,web
41.9,58727.24,north,android
25.5,35996.91,south,web
53.4,48570.38,east,android
52.5,62229.41,north,android
37.5,65493.14,west,android
43.6,66262.08,south,ios
18.0,40192.67,east,ios
28.4,72820.29,south,android
37.1,47996.82,south,ios
29.3,69492.87,east,web
47.1,59840.42,west,ios
60.0,39354.19,south,ios
28.2,55257.03,south,android
31.6,65480.46,east,ios
42.4,69194.48,east,web
56.1,57885.18,north,android
27.8,82976.68,south,ios
42.5,75112.66,south,android
58.2,56150.19,west,android
23.5,71251.83,south,android
27.2,89006.90,south,web
35.8,89407.27,west,android
34.8,41580.00,south,android
48.1,46102.00,north,ios
42.4,82273.78,north,android
22.3,44125.78,north,web
