age,income,region,device
57.1,76313.24,east,ios
33.4,52774.82,central,ios
29.7,61618.09,west,ios
57.1,60077.26,south,android
41.4,71562.22,south,android
43.7,45622.31,north,web
27.6,76254.66,north,android
40.5,67994.93,north,ios
47.9,41246.12,central,android
58.2,79123.94,west,android
39.5,94511.40,east,android
66.2,76027.51,south,ios
40.5,82404.77,west,android
40.5,62280.57,central,android
64.9,36077.43,central,ios
50.3,33338.19,east,android
41.9,64826.23,central,ios
46.3,52120.32,east,android
62.9,47281.36,east,android
64.1,60058.80,central,web
39.0,70233.78,south,ios
47.5,39208.64,south,ios
49.0,54266.84,south,ios
37.2,83648.06,east,android
47.4,44870.67,east,ios
48.1,74046.42,west,android
60.5,53729.04,south,ios
61.3,69186.91,south,ios
44.4,77459.91,central,android
45.6,72119.23,south,android
55.3,74637.39,central,web
41.6,43726.10,south,android
54.5,77704.90,east,android
47.0,48209.60,east,android
37.3,64893.13,central,android
37.5,64873.69,north,ios
63.9,68276.84,central,android
46.3,66054.35,east,android
66.0,48342.85,east,ios
42.4,40751.99,east,android
51.2,74085.23,north,android
74.3,63787.52,east,android
36.4,78240.65,south,ios
27.1,60329.01,south,android
62.2,39922.53,west,web
38.9,75491.95,east,ios
47.8,55444.44,north,ios
41.6,66130.05,north,ios
50.9,51288.11,north,ios
37.5,85664.53,north,web
46.0,47851.53,west,android
52.9,55938.55,north,ios
36.9,62611.73,central,ios
40.3,44617.27,south,web
44.2,65957.79,north,ios
32.3,85178.66,central,android
43.4,53643.07,south,ios
49.3,66927.14,south,ios
43.6,19758.47,central,android
45.0,60416.06,central,ios
47.8,56304.37,west,android
40.8,48722.54,north,ios
55.6,77221.76,east,android
63.8,56106.34,central,android
42.9,58337.84,central,android
53.3,55342.11,north,ios
45.4,32247.76,south,android
52.0,44020.20,south,web
65.2,75416.40,north,ios
53.6,29350.74,west,ios
28.5,49505.27,south,web
53.0,55004.20,south,ios
61.6,87154.33,north,android
45.6,72529.06,east,android
59.0,52642.44,north,ios
40.4,80567.71,south,android
31.7,49892.26,north,android
49.6,76136.50,central,ios
28.7,40616.84,north,web
45.4,77098.87,east,ios
62.2,54908.00,north,ios
27.0,45572.44,north,web
33.9,57742.85,south,ios
36.6,65160.16,north,web
47.3,53578.77,north,ios
44.0,69309.30,east,android
63.4,52255.09,west,ios
58.5,70305.59,north,android
53.4,67633.33,south,android
49.6,60086.15,east,web
52.3,54379.27,south,web
38.5,63273.11,south,android
57.4,69253.81,north,android
35.8,91926.99,south,android
57.2,75091.31,east,web
61.0,75639.85,central,android
50.3,107327.68,central,web
46.1,68739.38,central,ios
52.4,68269.65,south,android
18.0,71560.23,north,android
51.3,45865.51,south,ios
46.8,54341.48,south,ios
47.4,53407.46,north,web
55.8,70714.21,north,android
47.2,58387.38,east,ios
35.5,63073.35,south,ios
46.4,77311.82,north,android
48.7,73947.26,west,android
49.3,58574.18,south,web
49.8,50950.07,central,web
59.4,78029.12,south,android
36.1,72608.37,east,android
49.9,36906.15,north,ios
62.2,56302.69,east,web
28.9,63482.73,north,ios
50.0,72682.45,north,ios
41.6,74651.52,west,web
43.9,65258.59,south,web
38.0,69778.71,north,ios
46.1,61962.05,central,android
68.3,50892.22,north,android
34.1,57081.03,east,ios
35.1,61284.87,east,ios
33.7,60479.81,south,ios
67.0,32716.41,east,android
42.9,55037.75,north,android
47.7,61843.08,west,android
43.6,56779.45,south,ios
37.6,57297.64,north,web
45.4,68319.87,south,android
75.0,44815.64,central,web
63.3,36579.37,central,ios
38.6,55777.45,central,android
55.1,72461.72,west,web
38.9,86313.30,west,ios
28.5,72731.92,east,ios
59.2,38976.04,central,ios
60.8,57514.49,east,ios
59.5,64849.52,south,android
42.8,63663.87,west,ios
46.2,69089.57,east,ios
56.2,47244.27,north,android
52.3,61974.15,south,ios
43.7,67304.84,south,ios
30.2,73385.06,central,android
49.3,48914.23,south,ios
59.9,55822.65,central,ios
34.8,20442.73,south,ios
55.0,51678.07,central,ios
51.6,53133.78,north,android
56.3,45706.23,central,ios
57.6,63484.18,east,ios
40.4,60160.82,south,web
30.2,27111.79,south,web
42.1,64232.62,south,ios
57.8,47075.14,south,ios
42.0,68285.33,west,android
40.4,41772.23,central,web
28.0,61450.10,west,web
67.3,56752.55,east,ios
57.1,65546.53,south,ios
56.5,62870.46,central,android
58.6,57172.54,central,web
54.3,37955.92,south,web
45.3,38841.88,central,ios
46.2,52241.70,south,android
43.3,60875.80,central,ios
77.0,51876.28,central,android
54.1,70378.18,west,web
42.9,56811.69,north,android
53.1,46524.81,east,ios
36.9,56828.56,north,android
64.5,64387.90,central,android
40.7,65873.27,south,web
53.5,89175.69,west,ios
59.7,50966.36,central,web
52.2,59897.82,north,ios
49.0,67391.86,south,ios
48.1,60648.66,west,ios
47.4,53490.73,south,ios
41.7,37761.14,north,ios
43.1,53337.48,north,android
64.3,44894.46,south,ios
46.8,35100.90,west,ios
39.4,49064.82,east,ios
42.3,45293.62,north,ios
60.1,69756.80,east,web
55.4,70016.38,south,web
54.2,47441.81,south,ios
45.2,57096.57,west,android
54.3,33126.36,south,android
40.9,53584.90,east,web
45.1,66984.73,central,ios
58.7,73374.07,east,ios
57.6,50304.29,west,android
37.2,76777.82,north,web
38.6,38264.62,north,android
49.2,42285.58,north,android
67.0,71644.93,central,ios
26.9,86066.82,central,android
51.1,68401.48,north,web
32.9,60394.86,south,android
41.0,28072.24,south,android
44.0,30663.29,east,android
43.4,62941.14,west,android
42.1,55629.06,west,android
48.1,44412.47,central,android
42.1,61982.99,south,web
31.9,62726.97,west,android
56.6,75166.24,east,ios
56.3,63049.03,south,ios
57.3,79425.92,central,ios
31.1,61119.91,north,ios
51.3,59269.98,west,ios
55.4,76964.68,west,android
36.7,46323.39,central,ios
48.1,103216.71,east,ios
46.7,66628.86,south,android
68.3,66712.44,central,ios
69.2,68876.44,central,android
29.7,89157.05,east,web
75.4,72887.61,central,android
37.9,36924.16,south,ios
58.8,82052.06,east,ios
58.7,55886.55,central,android
37.0,62607.33,south,android
53.4,41811.19,east,ios
46.8,68893.03,central,android
54.1,51229.39,central,android
50.5,62502.54,central,ios
61.2,56738.51,south,android
48.8,89875.19,central,ios
46.2,90733.90,north,ios
60.1,61697.70,east,web
54.4,61959.67,east,ios
56.0,55398.36,central,android
40.7,77590.09,central,android
36.5,56066.20,west,ios
41.8,54679.94,west,web
41.2,75678.89,south,ios
56.6,52925.51,east,ios
58.7,60433.67,east,web
46.3,37280.34,north,android
63.7,71562.86,east,android
63.1,90113.00,central,ios
50.7,71818.38,west,ios
39.0,82926.99,central,android
65.3,48308.47,south,ios
47.3,64544.86,east,ios
49.4,46852.60,north,android
44.3,57583.52,south,ios
38.2,72583.17,east,ios
31.8,62527.31,south,ios
55.0,39810.38,north,android
39.4,41274.56,west,android
81.7,40282.54,south,web
36.1,68371.79,south,ios
34.2,91958.42,south,ios
53.6,81436.87,east,android
64.8,32560.22,south,ios
48.7,82316.14,east,android
54.3,75046.01,east,web
27.7,37820.50,north,android
40.5,56451.98,central,android
36.2,77432.84,north,web
27.2,69256.50,east,ios
49.3,41363.57,south,web
23.3,70161.13,east,android
33.5,28937.49,south,android
42.1,57657.67,central,web
38.9,78069.35,south,android
52.4,61275.91,west,android
51.4,53515.94,south,ios
57.8,74340.19,north,android
56.3,75621.28,south,android
60.5,80650.60,east,ios
48.0,74115.14,east,android
51.3,77220.62,central,android
53.6,71993.63,west,android
49.6,64982.93,central,ios
43.6,62342.63,south,android
44.3,57441.10,central,ios
39.0,42814.48,east,ios
52.6,46670.33,west,android
47.0,56769.78,central,ios
40.7,64621.78,west,ios
40.7,82612.19,central,android
34.7,60373.04,west,ios
58.8,76052.14,north,web
48.9,77189.73,west,web
38.5,57528.30,east,android
56.9,69920.35,central,web
41.8,57347.08,central,web
32.5,80832.04,north,ios
59.2,70537.65,north,android
42.1,43142.74,north,ios
43.5,63422.87,east,android
48.5,85721.68,north,android
60.6,58281.53,west,ios
48.2,67715.73,east,ios
34.8,69188.18,central,web
54.0,45450.66,south,ios
42.7,68660.62,east,ios
68.8,40092.47,north,ios
48.0,51615.64,central,android
23.4,77135.84,north,web
51.9,66351.34,north,android
69.4,56432.83,south,android
65.3,67696.92,central,ios
68.1,60098.62,north,ios
36.8,61188.68,west,android
58.0,70852.28,west,web
40.1,50089.48,central,android
50.5,61605.05,north,android
34.0,56315.98,north,android
40.9,37215.95,south,android
40.6,47193.16,south,android
57.9,84523.10,west,android
56.8,66770.85,south,android
51.0,41146.18,south,android
33.1,37894.68,north,web
44.6,59317.54,east,android
39.8,84417.80,north,ios
57.6,58198.63,west,ios
61.0,80604.99,north,android
59.6,66278.96,central,android
39.7,68068.76,west,android
18.0,40964.19,north,android
28.6,75062.84,north,ios
63.6,55976.02,south,android
43.6,73946.39,north,android
39.7,48787.45,south,android
66.1,63655.74,central,android
61.9,66280.04,west,ios
48.3,58689.50,north,android
44.8,67068.18,east,android
46.5,57004.04,south,web
50.5,51264.10,central,android
65.6,85082.25,north,ios
52.6,76734.29,west,android
56.0,49587.03,central,android
60.9,69526.66,north,ios
35.1,49859.82,north,web
56.3,43229.73,south,ios
44.8,76507.14,central,ios
20.3,35438.51,east,ios
24.6,74902.84,west,ios
36.8,57209.17,central,web
53.8,57826.80,central,android
49.3,67146.27,east,ios
50.0,69717.98,east,android
69.5,48604.85,west,android
34.0,71765.88,south,ios
47.7,62700.56,central,ios
51.3,42159.18,north,android
39.9,58451.88,north,ios
48.3,81719.19,central,android
30.4,86148.92,south,ios
63.5,71760.23,north,android
40.5,43144.85,north,web
70.3,68359.10,east,ios
47.6,73762.91,central,ios
59.3,71885.62,north,web
47.4,72774.31,north,android
47.7,66448.95,east,android
41.6,59913.81,central,ios
49.3,51874.49,south,ios
51.5,32530.97,central,android
39.4,66094.63,central,web
46.6,63790.79,south,ios
41.3,69363.64,central,android
73.3,40936.84,west,android
47.0,70675.25,east,ios
65.0,91818.18,south,ios
45.8,62176.75,central,ios
50.9,60075.02,central,android
33.5,65635.04,central,android
43.1,91485.06,central,android
